ID,division,clase,orden,familia,genero,tipo,color,colector,numerocatalogo,numerocolecta,siglascoleccion
123147,Magnoliophyta,Magnoliopsida,Papaverales,49,62,Arbusto,1,B. Hinton; et al.,137410,21123,IEB
127641,Magnoliophyta,Magnoliopsida,Polygonales,60,579,Hierba ,7,Abel García Arévalo,1100,3255,CIIDIR
103071,Magnoliophyta,Magnoliopsida,Lamiales,1,616,Hierba ,7,J.A. Zavala H.,1229,113,XAL
95344,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Sufrútice,7,J. J. Balleza C.; M. Adame G.,NO DISPONIBLE,15297,HUAZ
98712,Magnoliophyta,Magnoliopsida,Gentianales,9,631,Sufrútice,7,I. M. Johnston; C. H. Muller,155345,961,LL
93015,Magnoliophyta,Magnoliopsida,Caryophyllales,42,486,Arbusto,1,J. J. Pérez Navarro,18495,1718,HCIB
83215,Magnoliophyta,Magnoliopsida,Caryophyllales,27,186,Arbusto,16,R. MORAN,59613,11770,SD
96213,Magnoliophyta,Magnoliopsida,Gentianales,9,71,Sufrútice,7,A.C. Sanders,22950,1988,UCR
80136,Magnoliophyta,Magnoliopsida,Caryophyllales,5,76,Sufrútice,7,Reid Moran,97967,24699,SD
88832,Magnoliophyta,Magnoliopsida,Caryophyllales,27,519,Arbusto,1,I. Díaz,NO DISPONIBLE,407,QMEX
138703,Magnoliophyta,Magnoliopsida,Solanales,84,510,Sufrútice,17,T.R. Van Devender; R.K. Van Devender; T.L. Burgess; W.H. Clark; E.M. Clark; R.J. Rondeau; J.F. Wiens,292160,91-339,ARIZ
81069,Magnoliophyta,Magnoliopsida,Caryophyllales,5,150,arbusto,7,P. J. Rempel,402770,64,RSA
140676,Magnoliophyta,Magnoliopsida,Solanales,84,661,Hierba ,18,Carlos Morin Valdes,NO DISPONIBLE,612,IZTA
122739,Magnoliophyta,Magnoliopsida,Myrtales,45,514,Arbusto,1,J.J. Sánchez; D.A. Delgado Z.,19363,2012-102,USON
72630,Magnoliophyta,Magnoliopsida,Boraginales,24,39,Hierba ,1,R. V. Moran; J. Henrickson,3809,10316,ENCB
125166,Magnoliophyta,Magnoliopsida,Plantaginales,54,619,Hierba ,7,A. Valiente B.,539243,851,MEXU
93841,Magnoliophyta,Magnoliopsida,Caryophyllales,62,584,Hierba ,7,JCH; GSH,NO DISPONIBLE,21469,GBH
9046,Magnoliophyta,Liliopsida,Cyperales,29,301,Hierba ,19,NO DISPONIBLE,765167,NO DISPONIBLE,MEXU
128907,Magnoliophyta,Magnoliopsida,Rhamnales,69,149,Hierba ,7,R. V. Moran,265165,18435,LL
73358,Magnoliophyta,Magnoliopsida,Boraginales,24,207,Hierba ,7,L. E. Rodríguez,326515,NO DISPONIBLE,MEXU
83532,Magnoliophyta,Magnoliopsida,Caryophyllales,27,211,Arbusto,1,Jon Rebman,138071,1460,CAS-BOT
114816,Magnoliophyta,Magnoliopsida,Malpighiales,31,293,Hierba ,7,I. L. Wiggins,91136,15192,TEX
139922,Magnoliophyta,Magnoliopsida,Solanales,84,661,Arbusto,17,R.S. Felger; John Miller Cooper,NO DISPONIBLE,15268,ARIZ
138052,Magnoliophyta,Magnoliopsida,Solanales,84,447,Arbusto,17,F. Chiang C.; T. L. Wendt; M. C. Johnston,227149,8389,LL
122966,Magnoliophyta,Magnoliopsida,Myrtales,45,514,Hierba ,1,M. C. Johnston; T. L. Wendt; F. Chiang C.,160697,10594-I,LL
100636,Magnoliophyta,Magnoliopsida,Lamiales,1,233,Hierba ,17,M. Domínguez L.,8776,1957,HCIB
112219,Magnoliophyta,Magnoliopsida,Malpighiales,31,293,Hierba ,7,T.R. Van Devender; A.C. Sanders,300072,92-1056,ARIZ
105195,Magnoliophyta,Magnoliopsida,Lamiales,36,625,Hierba ,20,Reid Moran,87270,20590,SD
