ID,pais,estado,municipio,longitud,latitud,altitudmapa,zonamapa
123147,MEXICO,NUEVO LEON,GALEANA,-100.77,24.57,1843,CONTINENTAL
127641,MEXICO,DURANGO,TLAHUALILO,-103.75,26.68,1186,CONTINENTAL
103071,MEXICO,PUEBLA,ZAPOTITLAN,-97.49,18.34,1609,CONTINENTAL
95344,MEXICO,ZACATECAS,GENARO CODINA,-102.45,22.48,2223,CONTINENTAL
98712,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-103.3,27.59,1236,CONTINENTAL
93015,MEXICO,QUERETARO,PEÑAMILLER,-99.83,21.08,1449,CONTINENTAL
83215,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-112.68,27.14,593,CONTINENTAL
96213,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.04,28.46,13,CONTINENTAL
80136,MEXICO,BAJA CALIFORNIA,ENSENADA,-116.15,31.85,791,CONTINENTAL
88832,MEXICO,HIDALGO,AJACUBA,-99.03,20.16,2308,CONTINENTAL
138703,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.78,29.79,644,CONTINENTAL
81069,MEXICO,BAJA CALIFORNIA SUR,LOS CABOS,-109.85,22.9,23,CONTINENTAL
140676,MEXICO,PUEBLA,ZAPOTITLAN,-97.49,18.33,1502,CONTINENTAL
122739,MEXICO,SONORA,PUERTO PEÑASCO,-113.72,31.54,17,CONTINENTAL
72630,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.13,29.33,995,CONTINENTAL
125166,MEXICO,PUEBLA,ZAPOTITLAN,-97.45,18.27,2429,CONTINENTAL
93841,MEXICO,NUEVO LEON,ITURBIDE,-99.89,24.67,1457,CONTINENTAL
9046,MEXICO,SONORA,GUAYMAS,-111.05,28.17,126,CONTINENTAL
128907,MEXICO,0,0,-115.22,28.37,326,ISLA
73358,MEXICO,COAHUILA DE ZARAGOZA,OCAMPO,-102.51,27.64,1364,CONTINENTAL
83532,MEXICO,BAJA CALIFORNIA,MEXICALI,-115.82,32.45,109,CONTINENTAL
114816,MEXICO,BAJA CALIFORNIA SUR,MULEGE,-113.01,26.93,23,CONTINENTAL
139922,MEXICO,SONORA,HERMOSILLO,-111.9,28.86,6,CONTINENTAL
138052,MEXICO,CHIHUAHUA,ALDAMA,-105.52,28.93,1217,CONTINENTAL
122966,MEXICO,COAHUILA DE ZARAGOZA,ACUÑA,-102.66,29.72,741,CONTINENTAL
100636,MEXICO,0,0,-109.88,24.18,151,ISLA
112219,MEXICO,SONORA,NAVOJOA,-109.3,26.79,191,CONTINENTAL
105195,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.6,29.62,799,CONTINENTAL
139138,MEXICO,SONORA,GUAYMAS,-110.88,27.91,27,ISLA
104927,MEXICO,ZACATECAS,MAZAPIL,-101.98,24.63,1917,CONTINENTAL
132486,MEXICO,SONORA,OPODEPE,-110.83,29.97,831,CONTINENTAL
101962,MEXICO,TAMAULIPAS,SAN CARLOS,-98.98,24.29,450,CONTINENTAL
129540,MEXICO,BAJA CALIFORNIA SUR,LORETO,-111.49,25.97,447,CONTINENTAL
87880,MEXICO,PUEBLA,ZAPOTITLAN,-97.5,18.28,1608,CONTINENTAL
131635,MEXICO,NUEVO LEON,LAMPAZOS DE NARANJO,-100.57,26.75,647,CONTINENTAL
117607,MEXICO,TAMAULIPAS,MIQUIHUANA,-99.89,23.59,1728,CONTINENTAL
11420,MEXICO,0,0,-112.2,29.02,,MAR_TERRITORIAL
123886,MEXICO,QUERETARO,PINAL DE AMOLES,-99.6,21.03,1047,CONTINENTAL
122722,MEXICO,BAJA CALIFORNIA,MEXICALI,-115.19,31.84,8,CONTINENTAL
131234,MEXICO,PUEBLA,TLACOTEPEC DE BENITO JUAREZ,-97.62,18.74,2090,CONTINENTAL
74260,MEXICO,TAMAULIPAS,MIQUIHUANA,-99.86,23.55,1560,CONTINENTAL
125540,MEXICO,TAMAULIPAS,BUSTAMANTE,-99.67,23.33,1816,CONTINENTAL
94501,MEXICO,BAJA CALIFORNIA,ENSENADA,-114.23,29.53,257,CONTINENTAL
