genero,longitud,latitud,altitudmapa
39,-112.741667,26.441667,16
39,-112.741667,26.441667,16
39,-112.741667,26.441667,16
39,-112.7333,26.43333,21
39,-112.741667,26.441667,16
39,-112.7333,26.43333,21
39,-112.741667,26.441667,16
39,-112.741667,26.441667,16
427,-116.416667,31.825,291
427,-116.417222,31.825,288
427,-112.73,26.43,30
427,-110.95,25,471
427,-111.75,26.05,510
427,-111.416667,25.875,470
427,-111.45,25.966667,195
427,-111.391667,25.841667,687
427,-111.391667,25.841667,687
427,-111.758333,26.058333,500
427,-111.458333,25.966667,234
427,-111.075,24.841667,224
427,-111.625,25.641667,193
427,-111.175,25.358333,318
427,-112.408333,26.641667,303
427,-110.408333,27.758333,12
427,-110.930556,28.044444,26
427,-110.441667,27.791667,14
427,-110.675,27.941667,38
427,-111.358333,28.391667,9
427,-111.161667,28.0575,99
427,-110.675,27.941667,38
427,-111.18381,28.051,37
427,-111.35,28.38333,7
427,-110.4333,27.78333,9
427,-110.6667,27.93333,116
427,-110.6667,27.93333,116
427,-110.9306,28.04445,26
427,-111.1617,28.0575,99
427,-111.15,28.0575,375
427,-110.433333,27.783333,9
427,-111.161667,28.0575,99
427,-110.433889,27.783333,9
427,-110.996667,28.111667,79
427,-116.416667,31.825,291
427,-116.417222,31.825,288
427,-112.73,26.43,30
427,-110.95,25,471
427,-111.75,26.05,510
427,-111.416667,25.875,470
427,-111.45,25.966667,195
427,-111.391667,25.841667,687
427,-111.391667,25.841667,687
427,-111.758333,26.058333,500
427,-111.458333,25.966667,234
427,-111.075,24.841667,224
427,-111.625,25.641667,193
427,-111.175,25.358333,318
427,-112.408333,26.641667,303
427,-110.408333,27.758333,12
427,-110.930556,28.044444,26
427,-110.441667,27.791667,14
427,-110.675,27.941667,38
427,-111.358333,28.391667,9
427,-111.161667,28.0575,99
427,-110.675,27.941667,38
427,-111.18381,28.051,37
427,-111.35,28.38333,7
427,-110.4333,27.78333,9
427,-110.6667,27.93333,116
427,-110.6667,27.93333,116
427,-110.9306,28.04445,26
427,-111.1617,28.0575,99
427,-111.15,28.0575,375
427,-110.433333,27.783333,9
427,-111.161667,28.0575,99
427,-110.433889,27.783333,9
427,-110.996667,28.111667,79
