División,clase,orden,familia,Hierba,Color,longitud,latitud,tipovegetacionmapa,altitudmapa
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-110.433889,27.783333,Vegetacion Halofila,9
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-110.996667,28.111667,Matorral Sarcocaule,79
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-99.325,24.441667,Matorral Submontano,271
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-99.325,24.441667,Matorral Submontano,271
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-106,28.5,Pastizal Natural,1572
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-106,28.5,Pastizal Natural,1572
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-109.208333,26.551389,Matorral Sarcocrasicaule,32
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-109.208333,26.551389,Matorral Sarcocrasicaule,32
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-99.233333,25.146667,Matorral Submontano,259
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-97.75,24.547222,Matorral Espinoso Tamaulipeco,10
Magnoliophyta,Liliopsida,Alismatales,Alismataceae,Hierba ,Blanca,-97.758333,24.547222,Matorral Espinoso Tamaulipeco,9
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-100.1627,25.3654,Bosque de Encino,715
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-99.78786,21.2737,Matorral Submontano,1434
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-100.008333,25.008333,Matorral Submontano,1267
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-100.1627,25.3654,Bosque de Encino,715
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-113.2314,28.020906,Matorral Sarcocaule,252
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-113.118333,28.034167,Matorral Desertico Rosetofilo,396
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-111.5,25.984722,Matorral Sarcocaule,603
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-111.516389,25.984722,Matorral Sarcocaule,724
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-99.233333,25.146667,Matorral Submontano,259
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-99.633333,20.583333,Matorral Crasicaule,1659
Magnoliophyta,Liliopsida,Arales,Araceae,Hierba ,Verdosa,-100.415556,20.504444,Matorral Crasicaule,1890
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.85481,32.21713,Matorral Desertico Microfilo,824
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.19397,30.43528,Chaparral,1338
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-114.71806,29.73278,Matorral Sarcocrasicaule,558
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.85481,32.21713,Matorral Desertico Microfilo,824
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.85481,32.21713,Matorral Desertico Microfilo,824
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.19397,30.43528,Chaparral,1338
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.85481,32.21713,Matorral Desertico Microfilo,824
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.74583,32.56944,Matorral Desertico Microfilo,8
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-114.698222,29.730167,Matorral Sarcocrasicaule,557
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-114.71806,29.73278,Matorral Sarcocrasicaule,558
Magnoliophyta,Liliopsida,Arecales,Arecaceae,Árbol  ,Amarillenta,-115.85481,32.21713,Matorral Desertico Microfilo,824
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-116.258333,31.408333,Chaparral,342
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115.158333,31.058333,Matorral Desertico Microfilo,612
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115.3748,30.9316,Chaparral,2349
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115.458333,31.075,Chaparral,2003
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115,30,Matorral Desertico Microfilo,583
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115.4,30,Matorral Desertico Rosetofilo,499
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115.466722,31.149833,Chaparral,1609
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-115.158333,31.058333,Matorral Desertico Microfilo,612
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Púrpura,-116.175,32.441667,Chaparral,1295
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Púrpura,-116.175,32.441667,Chaparral,1295
Magnoliophyta,Liliopsida,Asparagales,Amaryllidaceae,Hierba ,Blanca,-116.641667,31.908333,Chaparral,354
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Blanca,-97.158333,18.308333,Matorral Desertico Rosetofilo,1224
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Blanca,-97.471556,18.437778,Matorral Crasicaule,1879
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Blanca,-97.471556,18.437778,Matorral Crasicaule,1879
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-100.828611,25.6225,Matorral Desertico Rosetofilo,1250
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-103.736006,26.658889,Matorral Desertico Rosetofilo,1191
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-103.629861,26.645861,Matorral Desertico Rosetofilo,1196
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-100.048409,24.134435,Matorral Desertico Microfilo,1596
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-100.520782,26.293292,Matorral Desertico Microfilo,744
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-99.726944,25.710833,Matorral Submontano,360
Magnoliophyta,Liliopsida,Bromeliales,Bromeliaceae,Hierba,Amarillenta,-97.555972,18.318083,Matorral Crasicaule,1606
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-98.61,19.9323,Matorral Crasicaule,2827
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-98.61,19.9323,Matorral Crasicaule,2827
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-102.217597,24.593511,Matorral Desertico Microfilo,1914
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Violeta,-101.425,25.925,Chaparral,1381
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Violeta,-101.4167,25.91667,Chaparral,1356
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Violeta,-101.425,25.925,Chaparral,1381
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Violeta,-101.4167,25.91667,Chaparral,1356
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-100.53925,25.098417,Matorral Desertico Rosetofilo,2090
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-100.773056,24.576667,Matorral Desertico Rosetofilo,1871
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-100.689011,25.703413,Matorral Desertico Rosetofilo,1254
Magnoliophyta,Liliopsida,Commelinales,Commelinaceae,Hierba,Rosa,-100.745676,25.665433,Matorral Desertico Rosetofilo,1616
Magnoliophyta,Liliopsida,Cyclanthales,Cyclanthaceae,Hierba,Rosa,-105.883333,30.26,Matorral Desertico Microfilo,1435
Magnoliophyta,Liliopsida,Cyclanthales,Cyclanthaceae,Hierba,Rosa,-105.883333,30.26,Matorral Desertico Microfilo,1435
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-99.9604,23.751208,Matorral Desertico Microfilo,1532
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-97.53,18.07,Selva Baja Caducifolia,2225
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-99.218531,23.702858,Matorral Submontano,504
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.608333,Matorral Sarcocaule,858
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.608333,Matorral Sarcocaule,858
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.641667,Matorral Sarcocaule,645
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-113.075,27.641667,Matorral Sarcocaule,645
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-112.6,27.466667,Matorral Sarcocaule,1464
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,"Amarillenta, pudiendo variar a anaranjado rojizo",-112.6,27.466667,Matorral Sarcocaule,1464
Magnoliophyta,Liliopsida,Cyperales,Cyperaceae,Hierba,Pardo,-116.258333,31.408333,Chaparral,342
