ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
123147,1.0993036720084200,-0.5017865445042630,1.573027344767180,49,62,-100.77,24.57,1843.0,1,Papaveraceae,Argemone,Arbusto,Amarilla
127641,0.23405215501419100,1.4245665883957700,0.03404236062040440,60,579,-103.75,26.68,1186.0,2,Polygonaceae,Polygonum,Árbol,Blanca
103071,2.4792292281000200,-0.5165270634055320,-1.6676642648838100,1,616,-97.49,18.34,1609.0,1,Acanthaceae,Ruellia,Árbol,Blanca
95344,1.5912510993117000,-1.7474370811799300,0.447163889345872,9,71,-102.45,22.48,2223.0,1,Apocynaceae,Asclepias,Arbusto,Blanca
98712,0.28227231484187900,0.025828010253122500,-1.557163195659020,9,631,-103.3,27.59,1236.0,1,Apocynaceae,Sarcostemma,Arbusto,Blanca
93015,1.6137313967181800,0.4344888056915600,-0.11367594358823100,42,486,-99.83,21.08,1449.0,1,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
83215,-1.23535257753841,-0.8156125998792260,0.22016901958410000,27,186,-112.68,27.14,593.0,0,Cactaceae,Cochemiea,Arbusto,Roja
96213,-2.0032487267076500,-1.7296498590131100,-0.006664162531899070,9,71,-114.04,28.46,13.0,0,Apocynaceae,Asclepias,Arbusto,Blanca
80136,-2.1307962109006600,-1.6767236539328100,-0.00782167337022415,5,76,-116.15,31.85,791.0,0,Amaranthaceae,Atriplex,Arbusto,Blanca
88832,2.4884750070726100,0.1072244326280970,-0.5009462848689070,27,519,-99.03,20.16,2308.0,1,Cactaceae,Opuntia,Arbusto,Amarilla
138703,-1.73863440964989,2.025183002495160,0.7505693441604930,84,510,-114.78,29.79,644.0,2,Solanaceae,Nicotiana,Arbusto,Rosa
81069,-0.734830125790319,-1.7809079516804200,-0.37131008218331500,5,150,-109.85,22.9,23.0,0,Amaranthaceae,Celosia,Arbusto,Blanca
140676,2.291242531952410,2.1932104637265100,0.5036067067075620,84,661,-97.49,18.33,1502.0,1,Solanaceae,Solanum,Árbol,Verde
122739,-2.2884205060747900,0.8247321239955650,-0.4429731540493540,45,514,-113.72,31.54,17.0,2,Onagraceae,Oenothera ,Arbusto,Amarilla
72630,-1.4640210267917700,-1.2582637035361700,0.6902218497511990,24,39,-114.13,29.33,995.0,0,Boraginaceae,Amsinckia,Árbol,Amarilla
125166,3.007020556421910,1.2029946912871900,-0.04804739127369520,54,619,-97.45,18.27,2429.0,1,Plantaginaceae,Russelia,Árbol,Blanca
93841,1.0948212907534400,1.4592448818712900,0.14759711032876500,62,584,-99.89,24.67,1457.0,1,Portulacaceae,Portulaca,Árbol,Blanca
9046,-1.5246219679500000,-0.4129502639744070,-0.15948462098360300,29,301,-111.05,28.17,126.0,0,Cyperaceae,Fimbristylis,Árbol,Verdosa
128907,-1.9357714316479400,0.3969507144104780,1.4629916449747200,69,149,-115.22,28.37,326.0,2,Rhamnaceae,Ceanothus,Árbol,Blanca
73358,0.23465034400496400,-0.7847727104590720,0.3073015727994780,24,207,-102.51,27.64,1364.0,0,Boraginaceae,Cryptantha,Árbol,Blanca
83532,-2.659714238849710,-0.6186677060732060,0.05695031574175950,27,211,-115.82,32.45,109.0,0,Cactaceae,Cylindropuntia,Arbusto,Amarilla
114816,-1.6098831773780400,-0.41636213372342200,-0.12289791794219200,31,293,-113.01,26.93,23.0,0,Euphorbiaceae,Euphorbia,Árbol,Blanca
139922,-1.72480460653193,2.4028888492062600,0.1671786586921550,84,661,-111.9,28.86,6.0,2,Solanaceae,Solanum,Arbusto,Rosa
138052,-0.3398775777605610,1.8405699828286400,1.150345729184860,84,447,-105.52,28.93,1217.0,2,Solanaceae,Lycium,Arbusto,Rosa
122966,-0.43908488551068300,0.8127641291862,-0.21456869399075300,45,514,-102.66,29.72,741.0,2,Onagraceae,Oenothera ,Árbol,Amarilla
100636,-0.7911170570968330,-1.6060619862330700,-0.7311433646680810,1,233,-109.88,24.18,151.0,0,Acanthaceae,Dicliptera,Árbol,Rosa
112219,-1.113438202148740,-0.41253547782913800,-0.05565598811442770,31,293,-109.3,26.79,191.0,0,Euphorbiaceae,Euphorbia,Árbol,Blanca
