ID,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
123147,Papaveraceae,Argemone,Arbusto,Amarilla
127641,Polygonaceae,Polygonum,Árbol,Blanca
103071,Acanthaceae,Ruellia,Árbol,Blanca
95344,Apocynaceae,Asclepias,Arbusto,Blanca
98712,Apocynaceae,Sarcostemma,Arbusto,Blanca
93015,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
83215,Cactaceae,Cochemiea,Arbusto,Roja
96213,Apocynaceae,Asclepias,Arbusto,Blanca
80136,Amaranthaceae,Atriplex,Arbusto,Blanca
88832,Cactaceae,Opuntia,Arbusto,Amarilla
138703,Solanaceae,Nicotiana,Arbusto,Rosa
81069,Amaranthaceae,Celosia,Arbusto,Blanca
140676,Solanaceae,Solanum,Árbol,Verde
122739,Onagraceae,Oenothera ,Arbusto,Amarilla
7924,Cyperaceae,Cyperus,Árbol,Amarillenta
72630,Boraginaceae,Amsinckia,Árbol,Amarilla
125166,Plantaginaceae,Russelia,Árbol,Blanca
8109,Cyperaceae,Cyperus,Árbol,Amarillenta
93841,Portulacaceae,Portulaca,Árbol,Blanca
9046,Cyperaceae,Fimbristylis,Árbol,Verdosa
128907,Rhamnaceae,Ceanothus,Árbol,Blanca
73358,Boraginaceae,Cryptantha,Árbol,Blanca
83532,Cactaceae,Cylindropuntia,Arbusto,Amarilla
114816,Euphorbiaceae,Euphorbia,Árbol,Blanca
139922,Solanaceae,Solanum,Arbusto,Rosa
138052,Solanaceae,Lycium,Arbusto,Rosa
122966,Onagraceae,Oenothera ,Árbol,Amarilla
100636,Acanthaceae,Dicliptera,Árbol,Rosa
112219,Euphorbiaceae,Euphorbia,Árbol,Blanca
105195,Lamiaceae,Salvia,Árbol,Violeta
139138,Solanaceae,Nicotiana,Árbol,Rosa
104927,Lamiaceae,Salvia,Arbusto,Azul
132486,Rubiaceae,Mitracarpus,Arbusto,Blanca
101962,Acanthaceae,Justicia,Árbol,Blanca
129540,Rhamnaceae,Karwinskia,Árbol,Blanca
87880,Cactaceae,Neobuxbaumia,Arbusto,Blanca
131635,Rubiaceae,Bouvardia,Árbol,Blanca
117607,Phyllanthaceae,Phyllanthus,Árbol,Azul
11420,Zosteraceae,Zostera,Árbol,Blanca
123886,Plantaginaceae,Bacopa,Árbol,Azul
122722,Onagraceae,Oenothera ,Arbusto,Amarilla
131234,Rosaceae,Vauquelinia,Árbol,Blanca
74260,Boraginaceae,Hackelia,Árbol,Azul
125540,Polygalaceae,Polygala,Arbusto,Blanca
94501,Apocynaceae,Asclepias,Arbusto,Morada
114633,Euphorbiaceae,Euphorbia,Árbol,Blanca
135308,Rutaceae,Decatropis,Arbusto,Amarillenta
