ID,PC 1,PC 2,PC 3,familia,genero,longitud,latitud,altitudmapa,class,Conversion_familia,Conversion_genero,Conversion_Tipo,Conversion_color
123147,1.0993036720084242,-0.5017865445042587,1.573027344767172,49,62,-100.77,24.57,1843.0,1,Papaveraceae,Argemone,Arbusto,Amarilla
127641,0.2340521550141983,1.424566588395775,0.034042360620408614,60,579,-103.75,26.68,1186.0,2,Polygonaceae,Polygonum,Árbol,Blanca
103071,2.4792292281000248,-0.516527063405537,-1.667664264883811,1,616,-97.49,18.34,1609.0,1,Acanthaceae,Ruellia,Árbol,Blanca
95344,1.5912510993117042,-1.7474370811799251,0.44716388934587825,9,71,-102.45,22.48,2223.0,1,Apocynaceae,Asclepias,Arbusto,Blanca
98712,0.28227231484187854,0.02582801025312005,-1.5571631956590246,9,631,-103.3,27.59,1236.0,1,Apocynaceae,Sarcostemma,Arbusto,Blanca
93015,1.6137313967181783,0.43448880569155907,-0.11367594358823062,42,486,-99.83,21.08,1449.0,1,Nyctaginaceae,Mirabilis,Arbusto,Amarilla
83215,-1.2353525775384122,-0.8156125998792254,0.22016901958410065,27,186,-112.68,27.14,593.0,0,Cactaceae,Cochemiea,Arbusto,Roja
96213,-2.00324872670765,-1.7296498590131137,-0.006664162531896781,9,71,-114.04,28.46,13.0,0,Apocynaceae,Asclepias,Arbusto,Blanca
80136,-2.1307962109006593,-1.6767236539328068,-0.007821673370223426,5,76,-116.15,31.85,791.0,0,Amaranthaceae,Atriplex,Arbusto,Blanca
88832,2.4884750070726165,0.10722443262809496,-0.5009462848689071,27,519,-99.03,20.16,2308.0,1,Cactaceae,Opuntia,Arbusto,Amarilla
138703,-1.7386344096498918,2.0251830024951643,0.7505693441604913,84,510,-114.78,29.79,644.0,2,Solanaceae,Nicotiana,Arbusto,Rosa
81069,-0.7348301257903213,-1.7809079516804207,-0.37131008218331274,5,150,-109.85,22.9,23.0,0,Amaranthaceae,Celosia,Arbusto,Blanca
140676,2.291242531952411,2.193210463726515,0.5036067067075625,84,661,-97.49,18.33,1502.0,1,Solanaceae,Solanum,Árbol,Verde
122739,-2.288420506074797,0.8247321239955651,-0.4429731540493555,45,514,-113.72,31.54,17.0,2,Onagraceae,Oenothera ,Arbusto,Amarilla
72630,-1.4640210267917715,-1.2582637035361661,0.6902218497511994,24,39,-114.13,29.33,995.0,0,Boraginaceae,Amsinckia,Árbol,Amarilla
125166,3.007020556421918,1.202994691287188,-0.04804739127369576,54,619,-97.45,18.27,2429.0,1,Plantaginaceae,Russelia,Árbol,Blanca
93841,1.094821290753445,1.459244881871292,0.14759711032876405,62,584,-99.89,24.67,1457.0,1,Portulacaceae,Portulaca,Árbol,Blanca
